"n","len_of_arr","k","comparisions","swaps"
"100","5","50","1164","343"
"100","5","5","954","277"
"100","5","95","1109","324"
"100","5","50","1045","312"
"100","5","5","958","287"
"100","5","95","861","264"
"100","5","50","1178","347"
"100","5","5","990","285"
"100","5","95","1122","322"
"100","5","50","501","142"
"100","5","5","996","288"
"100","5","95","903","277"
"100","5","50","986","295"
"100","5","5","920","266"
"100","5","95","1012","307"
"100","5","50","1011","314"
"100","5","5","988","298"
"100","5","95","1000","307"
"100","5","50","561","165"
"100","5","5","1108","341"
"100","5","95","1011","308"
"100","5","50","954","278"
"100","5","5","975","284"
"100","5","95","965","288"
"100","5","50","586","168"
"100","5","5","994","294"
"100","5","95","1061","320"
"100","5","50","1070","315"
"100","5","5","1172","348"
"100","5","95","948","270"
"100","5","50","1077","324"
"100","5","5","1186","359"
"100","5","95","1005","307"
"100","5","50","991","300"
"100","5","5","995","315"
"100","5","95","1042","311"
"100","5","50","1063","322"
"100","5","5","1074","320"
"100","5","95","1025","301"
"100","5","50","1070","311"
"100","5","5","1017","295"
"100","5","95","1057","314"
"100","5","50","920","277"
"100","5","5","984","303"
"100","5","95","871","258"
"100","5","50","1052","321"
"100","5","5","1056","316"
"100","5","95","1054","322"
"100","5","50","1033","301"
"100","5","5","971","283"
"100","5","95","1053","309"
"100","5","50","1075","318"
"100","5","5","1098","324"
"100","5","95","1095","333"
"100","5","50","1110","357"
"100","5","5","1120","344"
"100","5","95","957","299"
"100","5","50","1089","307"
"100","5","5","1022","283"
"100","5","95","968","274"
"100","5","50","1070","310"
"100","5","5","1044","310"
"100","5","95","972","273"
"100","5","50","1097","322"
"100","5","5","1076","313"
"100","5","95","964","278"
"100","5","50","460","140"
"100","5","5","846","248"
"100","5","95","892","288"
"100","5","50","923","282"
"100","5","5","1068","339"
"100","5","95","845","267"
"100","5","50","1047","320"
"100","5","5","1135","342"
"100","5","95","1127","346"
"100","5","50","1115","349"
"100","5","5","1077","329"
"100","5","95","955","291"
"100","5","50","1122","341"
"100","5","5","944","273"
"100","5","95","953","276"
"100","5","50","1110","326"
"100","5","5","1114","332"
"100","5","95","1073","307"
"100","5","50","993","311"
"100","5","5","964","300"
"100","5","95","912","273"
"100","5","50","1144","344"
"100","5","5","1021","299"
"100","5","95","973","309"
"100","5","50","1050","313"
"100","5","5","1129","339"
"100","5","95","1016","306"
"100","5","50","911","274"
"100","5","5","1078","341"
"100","5","95","933","270"
"100","5","50","1087","334"
"100","5","5","1049","325"
"100","5","95","983","304"
"100","5","50","1082","329"
"100","5","5","1089","324"
"100","5","95","1030","298"
"100","5","50","618","171"
"100","5","5","1164","356"
"100","5","95","1059","305"
"100","5","50","1105","330"
"100","5","5","1065","324"
"100","5","95","1025","314"
"100","5","50","597","181"
"100","5","5","1138","342"
"100","5","95","1049","320"
"100","5","50","567","173"
"100","5","5","1058","325"
"100","5","95","920","289"
"100","5","50","1083","316"
"100","5","5","1033","303"
"100","5","95","990","289"
"100","5","50","1123","356"
"100","5","5","999","298"
"100","5","95","1004","315"
"100","5","50","1056","304"
"100","5","5","1102","321"
"100","5","95","1045","314"
"100","5","50","1060","332"
"100","5","5","996","309"
"100","5","95","954","298"
"100","5","50","1018","302"
"100","5","5","952","280"
"100","5","95","810","245"
"100","5","50","1057","315"
"100","5","5","1014","300"
"100","5","95","988","297"
"100","5","50","546","145"
"100","5","5","1038","305"
"100","5","95","973","266"
"100","5","50","947","285"
"100","5","5","884","260"
"100","5","95","923","285"
"100","5","50","1183","353"
"100","5","5","970","282"
"100","5","95","1071","307"
"100","5","50","1123","337"
"100","5","5","1100","329"
"100","5","95","996","313"
"100","5","50","1002","312"
"100","5","5","970","295"
"100","5","95","925","287"
"100","5","50","1072","308"
"100","5","5","1023","290"
"100","5","95","1108","321"
"100","5","50","1121","343"
"100","5","5","1126","344"
"100","5","95","1063","333"
"100","5","50","1016","323"
"100","5","5","951","302"
"100","5","95","917","285"
"100","5","50","1130","334"
"100","5","5","1026","301"
"100","5","95","1014","299"
"100","5","50","1071","314"
"100","5","5","1091","323"
"100","5","95","1040","293"
"100","5","50","997","286"
"100","5","5","1006","286"
"100","5","95","1004","278"
"100","5","50","1102","338"
"100","5","5","1047","320"
"100","5","95","1008","310"
"100","5","50","543","170"
"100","5","5","1062","326"
"100","5","95","1003","309"
"100","5","50","924","289"
"100","5","5","1054","337"
"100","5","95","906","292"
"100","5","50","978","295"
"100","5","5","877","270"
"100","5","95","886","271"
"100","5","50","1168","348"
"100","5","5","943","277"
